review_date,hotel_name,review
8/3/2017,Park Plaza County Hall London, Extra bed was the worst breakfast queue was really terrible It s easy to tell people to come at a specific time though you have to arrange it somehow Parking is far away and hard to come back because of road diversions 
8/3/2017,Park Plaza County Hall London, Just the location and view
8/3/2017,Park Plaza County Hall London, Around the corner from the London eye and used it for a Trafalgar trip as the pickup for our tour was around the corner Walked down to the Borough market and took a river cruise to Greenwich Plent of eating spots close by as well Over the bridge was Westminster Abbey Parliament House and Big Ben and walked to Trafalgar Square as well also a laundry available which is very helpful 
8/2/2017,Park Plaza County Hall London, I wish you had wheat free snacks
8/2/2017,Park Plaza County Hall London, You re always my hotel of choice You re staff are incredible and recently you ve been giving me wonderful upgrades I always recommend you and when work ask me if I have a preference of accommodation you re my first pick I ve been staying with you for years so thank you
8/2/2017,Park Plaza County Hall London, Bit of a wait for a table at breakfast 
8/2/2017,Park Plaza County Hall London, The staff were all excellent The reception staff especially they went out of their way to make the kids feel welcome 
8/2/2017,Park Plaza County Hall London, Housekeeping would bang on your door to wake you up at 830am This is your alarm Very frustrated They will continue banging till you wake up until you told them not to clean up your room in such a morning hours Terrible If we need clean up we would put the paper sign out to make up room No respect on guests Don t expect this Housekeeping will refill your bath gel they only keep those bottles which you don t want to use keep on giving you the same unwanted bottles say conditioner They won t give you slippers cotton pads tho they keep it in their trolley They won t refill your tea sugar when u finished your stay was more than 6 days Doubt they changed your bedsheets too in such a long week 
8/2/2017,Park Plaza County Hall London, The location It was so close to the london eye and the rest of the popular attractions that it was easy for my wife to go with the kids while I attendend a course at the hotel The rooms were comfortable and fair enough space 
8/2/2017,Park Plaza County Hall London, Breakfast was an absolute disaster 20 minute wait for a table que to get brerakfast and then a que to get toast by which time your breakfast was cold If you got the toast first and qued for breakfast you toast would have been cold No tea or coffee offered for 30 mibns
8/2/2017,Park Plaza County Hall London, Room was very well appointed and facilities were good
8/2/2017,Park Plaza County Hall London, Large queues for breakfast Room was very crammed booked a room for 2 adults and 2 children no space to go in with a pushchair Not enough lifts to cater for guests at times it took us 10 minutes to go down to the lobby restaurant 
8/2/2017,Park Plaza County Hall London, Staff was very helpful Restaurant offered great food Excellent location walking distance to Waterloo station and several landmarks 
8/2/2017,Park Plaza County Hall London, Were staying in london for just one night and the location was perfect we paid around 200 for one night for a family suite and it was very well worth the money 
8/2/2017,Park Plaza County Hall London, The room was spacious enough for a family because there is a sleeping sofa but when the sleeping sofa is unfolded the room door is blocked very small opening to enter the room
8/2/2017,Park Plaza County Hall London, Location
7/31/2017,Park Plaza County Hall London, Location was great easy walk to London eye and Big Ben as well as many other attractions in this area hotel staff were great very helpful breakfast buffet was very good food was very fresh and well presented and although very busy staff were very efficient to make sure every one was well looked after 
7/29/2017,Park Plaza County Hall London, Housekeeping is not attentive not caring at all Once when I returned to my room at night there is not even a piece of towels in the toilet Also they won t give you enough set of towels Even if they give you they just left a pile for you to sort They never refill your toiletries needs u have to ask specifically everyday The most essential things when you finished they won t refill it for you But only replenish those you already left in full bottles but with even more that is not what you need E g I have 4 full bottles of conditioners 3 full bottles of shampoo but none for bath gel body cream They don t provide you with basic needs like slippers Cotton pads wools Q tips But we saw it in their trolley Not even refill teabags milk sugar Rooms are considered not clean to normal hotel standard 
7/26/2017,Park Plaza County Hall London, expensive breakfast especially when you only want a coffee and croissant We went to Starbucks around the corner for this 
7/26/2017,Park Plaza County Hall London, location to city attractions The room was comfortable and quiet Bathroom was clean and the hot water in the shower was plentiful 
7/25/2017,Park Plaza County Hall London, the traffic near the hotel was madness but that was likely due to the construction going on nearby once that is off the traffic will be better 
7/25/2017,Park Plaza County Hall London, the location is the perks here it is walking distance to the london eye and everything near it it is also about a 10 minute walk away from the nearest tube station there are many little cafes nearby so overall it is really convenient 
7/24/2017,Park Plaza County Hall London, It was a great stay for me and my family everybody in the hotel was so helpful especially COURTNEY at the reception desk Everything in the hotel was excellent including breakfast When we go to London again we will definitely stay in this hotel 
7/22/2017,Park Plaza County Hall London, Convenience location 10 mins walk to Waterloo tube station 3 mins to London eye Suggest to choose a room with outside view finally paid 20 per night to upgrade 
